rank,date,qantas_drop_percent,qantas_close,qantas_open,asx200_movement_percent,market_context,news_articles_found,primary_cause,categories,top_headlines,article_sources,article_urls,profit_vs_expectations,safety_events
25,2015-12-15,-5.38,3.161,3.341,-0.39,Qantas-specific (worse than market),6,"The Qantas share price dropped primarily due to an overnight rise in oil prices, raising concerns about future fuel costs, despite announcing a record half-year profit and a $500 million share buyback.",Fuel costs; Market volatility,"Analysis: Qantas share price drop on 15-Dec-2015; Qantas had just reported a strong financial result, with underlying profit before tax at the upper end of guidance ($875–$925 million), largely driven by cost reductions and benefits from previously l; The drop in share price was attributed by market analysts to the sudden increase in oil prices, which could negatively impact Qantas’s future profitability since fuel is its largest expense[3].",Perplexity Analysis; News Archive; News Archive,https://www.fool.com.au/2015/12/15/will-the-qantas-share-price-soar-after-trading-update/; https://www.fool.com.au/2015/12/08/falling-oil-sees-the-qantas-share-price-takeoff/; https://www.sbs.com.au/news/article/qantas-shareholders-pocket-another-500m/na0fh7l4v; https://www.ato.gov.au/law/view/pdf/pbr/cr2015-101.pdf; https://www.sbs.com.au/news/article/qantas-on-track-for-record-annual-profit/adnjffixp; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/mediaReleaseProposedCapitalManagementInitiative.pdf; https://www.scmp.com/business/companies/article/1021583/qantas-posts-huge-loss-first-annual-loss-17-years; https://investor.qantas.com/investors/?page=historical-share-price; https://www.fool.com.au/2015/12/16/heres-how-qantas-airways-limited-shares-could-be-a-massive-bargain-today/; https://investor.qantas.com/DownloadFile.axd?file=%2FReport%2FComNews%2F20151126%2F01689444.pdf; https://www.asxonline.com/content/dam/asxonline/public/notices/2015/oct/asx_045733.pdf; https://www.fool.com.au/2015/12/08/falling-oil-sees-the-qantas-share-price-takeoff/; https://www.sbs.com.au/news/article/qantas-shareholders-pocket-another-500m/na0fh7l4v,No profit results reported.,
26,2013-10-23,-5.32,1.136,1.2,-0.32,Qantas-specific (worse than market),6,"The Qantas share price dropped due to an expected pre-tax loss of $300 million, intensified competition eroding market share, rising operational costs from high oil prices, and investor concerns over job cuts and potential credit rating downgrades.",Profit warnings; Competition; Fuel costs; Safety incidents,"Analysis: Qantas share price drop on 23-Oct-2013; Qantas announced an expected pre-tax loss of $300 million for the six months to December 2013**, which was only its second loss since privatization in 1995[2][5]. This announcement was a major negativ; Aggressive competition from Virgin Australia** and other rivals was eroding Qantas' market share and profit margins, especially in the domestic market[3][5]. The ongoing ""airfare war"" forced Qantas to",Perplexity Analysis; News Archive; News Archive,https://orgecsnew.business-standard.com/article/pti-stories/shares-in-aus-s-qantas-plunge-after-cut-in-domestic-expansion-116041801263_1.html; https://www.fool.com.au/2013/12/12/qantas-drops-to-all-time-low-time-to-buy/; https://www.fool.com.au/2015/11/04/qantas-airways-limited-why-the-share-price-is-up-300/; https://www.fpmarkets.com/qantas-share-price/why-did-the-qantas-share-price-fall-6-today/; https://www.fool.com.au/2013/12/06/heres-why-qantas-plunged-17-on-thursday-morning/; https://www.ig.com/au/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://investor.qantas.com/investors/?page=historical-share-price; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/mediaReleaseResults13.pdf; https://www.youtube.com/watch?v=z-ME6ltWqPQ; https://www.fool.com.au/2013/12/12/qantas-drops-to-all-time-low-time-to-buy/; https://www.fool.com.au/2015/11/04/qantas-airways-limited-why-the-share-price-is-up-300/,No profit results reported.,"Yes, there was a Qantas safety-related incident reported during the specified period.

1. **Brief description of the incident:** A Qantas Boeing 747-400 (registration not specified in summary, but detailed as VH-OEI elsewhere) experienced a **bird strike** during approach to Dallas/Fort Worth International Airport. The aircraft landed safely and there were no injuries.
2. **Date it occurred:** October 18, 2013
3. **Flight number:** Not specified in the available summary[3][4].

No other Qantas safety incidents, accidents, emergency landings, or engine failures were reported between October 16, 2013 and October 23, 2013 based on available sources[3][4]."
27,2020-04-21,-5.28,3.478,3.671,-2.46,Market-wide decline,5,"The Qantas share price dropped due to the severe impact of the COVID-19 pandemic, leading to widespread travel restrictions, a collapse in passenger demand, and significant reductions in flight capacity.",COVID-19; Market volatility,"Analysis: Qantas share price drop on 21-Apr-2020; COVID-19 travel bans and lockdowns** caused Qantas to slash both international and domestic flight schedules, drastically reducing revenue[5].; The airline announced major capacity cuts, including a 23% reduction in overall flying, with even steeper cuts on Asian routes (down 31%) and significant reductions to the US, UK, and New Zealand[5].",Perplexity Analysis; News Archive; News Archive,https://www.fool.com.au/2025/05/02/why-did-the-qantas-share-price-lose-altitude-in-april/; https://www.fool.com.au/2025/05/21/qantas-share-price-slips-amid-looming-121-million-fine/; https://www.fool.com.au/2021/07/23/qantas-asxqan-share-price-falls-as-capacity-drops-below-40/; https://pmc.ncbi.nlm.nih.gov/articles/PMC8479560/; https://www.ig.com/au/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://www.youtube.com/watch?v=lPV5iAnQRy0; https://daily.fattail.com.au/qantas-share-price-edges-higher-on-market-update-asx-qan/20210415/; https://www.qantasnewsroom.com.au/media-releases/qantas-group-posts-significant-loss-from-full-year-of-covid/; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/2020FY/FY20-Media-Release.pdf; https://investor.qantas.com/investors/?page=historical-share-price; https://www.qantasnewsroom.com.au/media-releases/qantas-group-announces-post-covid-recovery-plan-and-equity-raising-for-a-stronger-future/; https://www.marketindex.com.au/asx/qan; https://www.fool.com.au/2025/05/21/qantas-share-price-slips-amid-looming-121-million-fine/; https://www.fool.com.au/2021/07/23/qantas-asxqan-share-price-falls-as-capacity-drops-below-40/,No profit results reported.,
28,2014-06-30,-5.26,1.15,1.213,-0.9,Qantas-specific (worse than market),6,"The Qantas share price dropped due to a significant financial loss of $2.8 billion, driven by industry capacity growth exceeding demand, record-high fuel costs, and a substantial fleet writedown, negatively impacting investor sentiment.",Fuel costs; Competition; Profit warnings,"Analysis: Qantas share price drop on 30-Jun-2014; Industry capacity growth ahead of demand**, which led to a $566 million decline in revenue as competition intensified and yields fell[2][3][4].; Record-high fuel costs**, with underlying fuel expenses reaching $4.5 billion, up $253 million from the previous year[2][3][4].",Perplexity Analysis; News Archive; News Archive,https://www.fool.com.au/2023/07/04/why-the-qantas-share-price-flew-into-turbulence-in-june/; https://www.qantasnewsroom.com.au/media-releases/qantas-group-financial-result/; https://aviator.aero/press/qantas-group-financial-result-for-12-months-ended-30-june-2014; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/annual-reports/2014AnnualReport.pdf; https://www.tradingpedia.com/2014/08/28/qantas-airways-ltds-share-price-up-projects-to-turn-back-to-profit-after-posting-an-annual-loss-of-a2-84-billion/; https://www.fool.com.au/2014/06/30/heres-why-qantas-airways-limited-has-plunged-today/; https://investor.qantas.com/investors/?page=historical-share-price; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/preliminaryFinalReport14.pdf; https://www.qantas.com.au/infodetail/about/investors/2014AnnualReport.pdf; https://www.qantasnewsroom.com.au/media-releases/qantas-group-financial-result/; https://aviator.aero/press/qantas-group-financial-result-for-12-months-ended-30-june-2014,No profit results reported.,
29,2020-07-10,-5.14,3.4,3.584,-0.61,Qantas-specific (worse than market),1,"The Qantas share price dropped on 10 July 2020 primarily due to the completion of a major equity raising at a significant discount, which diluted existing shareholders and reflected ongoing challenges in the airline industry amid COVID-19.",COVID-19; Profit warnings; Market volatility,Analysis: Qantas share price drop on 10-Jul-2020,Perplexity Analysis,https://www.fool.com.au/2020/07/09/how-did-the-qantas-share-price-perform-in-june/; https://www.fool.com.au/2020/06/26/qantas-share-price-down-6-after-completing-1-4bn-institutional-placement/; https://www.fool.com.au/2022/10/17/has-the-qantas-share-price-finally-left-covid-in-its-contrail/; https://australianaviation.com.au/2024/09/qantas-shares-finally-beat-pre-covid-peak/; https://australianaviation.com.au/2020/03/asx-chaos-as-qantas-and-virgin-shares-nosedive/; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/announcement/ASX_and_Media_Release.pdf; https://investor.qantas.com/investors/?page=historical-share-price; https://www.qantasnewsroom.com.au/media-releases/qantas-group-announces-post-covid-recovery-plan-and-equity-raising-for-a-stronger-future/; https://www.intelligentinvestor.com.au/shares/asx-qan/qantas-airways-limited; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/2020FY/FY20-Media-Release.pdf; https://daily.fattail.com.au/qantas-share-price-edges-higher-on-market-update-asx-qan/20210415/,No profit results reported.,
30,2011-03-15,-4.93,1.934,2.035,-2.06,Market-wide decline,1,"The primary cause of the Qantas share price drop was likely profit-taking after strong financial results, compounded by external factors like natural disasters impacting operations by $224 million and industrial disputes costing A$68 million.",Profit-taking; Operational disruptions; Industrial action,Analysis: Qantas share price drop on 15-Mar-2011,Perplexity Analysis,https://www.fool.com.au/2025/03/11/why-is-the-qantas-share-price-crashing-10-today/; https://www.fool.com.au/2024/07/09/why-did-asic-take-a-look-when-qantas-shares-fell-last-year/; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/mediaReleaseResults11.pdf; https://www.ig.com/au/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://investor.qantas.com/investors/?page=historical-share-price; https://www.fpmarkets.com/qantas-share-price/why-did-the-qantas-share-price-fall-6-today/; https://companiesmarketcap.com/aud/qantas-airways/stock-price-history/; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/annual-reports/2011AnnualReview.pdf,No profit results reported.,
31,2011-10-18,-4.89,1.332,1.4,-1.6,Qantas-specific (worse than market),1,"The Qantas share price dropped on 18 October 2011 primarily due to ongoing industrial disputes with unions, causing operational disruptions and financial losses, alongside concerns about rising fuel costs and strategic shifts affecting profitability.",Industrial action; Operational disruptions; Fuel costs; Strategic changes; Safety incidents,Analysis: Qantas share price drop on 18-Oct-2011,Perplexity Analysis,https://www.qantasnewsroom.com.au/media-releases/qantas-20112012-financial-result/; https://en.wikipedia.org/wiki/2011_Qantas_industrial_disputes; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/mediaReleaseResults11.pdf; https://www.fool.com.au/2018/10/25/qantas-airways-limited-asxqan-shares-plunge-despite-hitting-record-quarterly-sales/; https://investor.qantas.com/investors/?page=historical-share-price; https://www.aph.gov.au/Parliamentary_Business/Hansard/Hansard_Display?bid=chamber%2Fhansards%2F41ff3799-0350-4c51-b15a-87b0abc85c59%2F&sid=0224; https://en.wikipedia.org/wiki/History_of_Qantas,"No profit results reported. The search results do not indicate any financial or profit announcements by Qantas between October 8, 2011, and October 18, 2011. The closest relevant information is the half-year results for the period ending December 31, 2011, which were reported later than the specified period[4].","Yes, a Qantas safety incident was reported between October 11, 2011 and October 18, 2011.

- **Brief description:** A Qantas Boeing 747-400 experienced an engine shutdown in flight after a bang and excessive shuddering about 10 minutes after departure.
- **Date:** October 16, 2011
- **Flight number:** Not specified in the available sources[3][4]."
32,2011-08-10,-4.85,1.432,1.505,1.67,Qantas-specific (worse than market),6,"The Qantas share price dropped due to a profit warning forecasting a potential 90% decline in full-year profit, driven by steep losses in its international operations, record-high jet fuel costs, and ongoing industrial disputes.",Profit warnings; Industrial action; Fuel costs,"Analysis: Qantas share price drop on 10-Aug-2011; Profit warning:** Qantas announced it expected underlying profit before tax for the year to June 30 to be between A$50 million and A$100 million, compared to A$552 million the previous year[3][5].; Industrial action:** The company faced a one-off cost of A$100 million due to industrial action during the year, reflecting ongoing disputes with unions over wages and conditions[3][5].",Perplexity Analysis; News Archive; News Archive,https://www.fool.com.au/2023/09/06/why-did-the-qantas-share-price-dive-9-in-august/; https://www.fool.com.au/2025/03/11/why-is-the-qantas-share-price-crashing-10-today/; https://www.odt.co.nz/business/qantas-shocks-market-shares-plunge; https://en.wikipedia.org/wiki/2011_Qantas_industrial_disputes; https://www.sknvibes.com/news/newsdetails.cfm/58787; https://www.qantasnewsroom.com.au/media-releases/qantas-20112012-financial-result/; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/mediaReleaseResults11.pdf; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/investorPresentation11.pdf; https://www.fool.com.au/2025/03/11/why-is-the-qantas-share-price-crashing-10-today/; https://www.odt.co.nz/business/qantas-shocks-market-shares-plunge,No profit results reported.,
33,2020-06-26,-4.75,3.691,3.875,1.49,Qantas-specific (worse than market),5,"The Qantas share price dropped due to a large institutional share placement at a 12.9% discount, diluting existing shareholders and signaling financial stress amid ongoing pandemic-related challenges.",COVID-19; Profit warnings; Strategic changes,"Analysis: Qantas share price drop on 26-Jun-2020; Qantas completed a $1.36 billion institutional placement**, issuing approximately 372.7 million new shares at $3.65 per share, which was a **12.9% discount** to the last traded price of $4.19 on 24 Ju; The share price fell by about **6% on 26 June**, returning from a trading halt imposed during the equity raising process[3].",Perplexity Analysis; News Archive; News Archive,https://www.fool.com.au/2020/07/09/how-did-the-qantas-share-price-perform-in-june/; https://www.qantasnewsroom.com.au/topic/financial/; https://www.fool.com.au/2020/06/26/qantas-share-price-down-6-after-completing-1-4bn-institutional-placement/; https://www.fpmarkets.com/qantas-share-price/why-did-the-qantas-share-price-fall-6-today/; https://investor.qantas.com/DownloadFile.axd?file=%2FReport%2FComNews%2F20200625%2F02247900.pdf; https://www.qantasnewsroom.com.au/search/2020/06/; https://investor.qantas.com/investors/?page=historical-share-price; https://www.qantasnewsroom.com.au/media-releases/qantas-group-announces-post-covid-recovery-plan-and-equity-raising-for-a-stronger-future/; https://www.marketindex.com.au/asx/qan; https://www.qantasnewsroom.com.au/topic/financial/; https://www.fool.com.au/2020/06/26/qantas-share-price-down-6-after-completing-1-4bn-institutional-placement/,,
34,2020-05-01,-4.74,3.507,3.681,-5.01,Market-wide decline,7,"The Qantas share price dropped on 1 May 2020 due to a 91% collapse in FY20 profits, driven by the severe impact of COVID-19 on operations, including grounded international flights and reduced domestic capacity.",COVID-19; Profit warnings; Operational disruptions,"Analysis: Qantas share price drop on 01-May-2020; Qantas reported a 91% collapse in FY20 profits**, reflecting the devastating effect of global travel restrictions and border closures implemented to curb the spread of coronavirus[1].; The airline experienced a significant hit to both revenue and earnings, with international flights grounded and domestic capacity cut sharply in response to plummeting demand[2].",Perplexity Analysis; News Archive; News Archive,https://www.ig.com/au/news-and-trade-ideas/qantas-share-price--what-s-the-outlook-as-fy20-profits-collapse--200820; https://www.fool.com.au/2020/04/01/the-qantas-share-price-fell-41-in-march-time-to-buy/; https://www.fool.com.au/2021/07/23/qantas-asxqan-share-price-falls-as-capacity-drops-below-40/; https://www.fool.com.au/2020/01/06/heres-why-the-qantas-share-price-is-falling-out-of-the-sky/; https://www.fool.com.au/2025/05/02/why-did-the-qantas-share-price-lose-altitude-in-april/; https://australianaviation.com.au/2024/09/qantas-shares-finally-beat-pre-covid-peak/; https://investor.qantas.com/investors/?page=historical-share-price; https://www.ig.com/en/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://www.qantasnewsroom.com.au/media-releases/qantas-group-posts-significant-loss-from-full-year-of-covid/; https://www.qantasnewsroom.com.au/media-releases/qantas-group-announces-post-covid-recovery-plan-and-equity-raising-for-a-stronger-future/; https://www.fool.com.au/2020/04/01/the-qantas-share-price-fell-41-in-march-time-to-buy/; https://www.fool.com.au/2021/07/23/qantas-asxqan-share-price-falls-as-capacity-drops-below-40/,No profit results reported.,
35,2016-04-19,-4.67,2.973,3.118,1.01,Qantas-specific (worse than market),5,"The Qantas share price dropped due to weaker-than-expected demand for flights, leading to reduced capacity growth forecasts and heightened competition, which raised concerns about future profitability.",Competition; Profit warnings; Operational disruptions,"Analysis: Qantas share price drop on 19-Apr-2016; Softness in demand**: Qantas cited a decline in bookings over the Easter and school holiday period, which continued into April and May. This was attributed to weaker consumer confidence and uncertaint; Capacity cuts**: The airline revised its domestic capacity growth forecast for the second half of FY16 from 2% down to between 0.5% and 1%, and even negative growth for the April–June period. Internat",Perplexity Analysis; News Archive; News Archive,https://www.fool.com.au/2016/06/02/3-reasons-why-the-qantas-airways-limited-share-price-has-dropped-26-this-year/; https://www.itiger.com/news/2532931248; https://www.fool.com.au/2016/04/18/why-the-qantas-share-price-has-crashed-today/; https://www.fpmarkets.com/qantas-share-price/why-did-the-qantas-share-price-fall-6-today/; https://travelweekly.com.au/qantas-shares-dive-as-expansion-plans-axed/; https://www.straitstimes.com/business/companies-markets/qantas-sees-13-fall-in-first-half-profit-shares-tumble; https://www.qantasnewsroom.com.au/media-releases/qantas-group-announces-post-covid-recovery-plan-and-equity-raising-for-a-stronger-future/; https://investor.qantas.com/investors/?page=historical-share-price; https://www.itiger.com/news/2532931248; https://www.fool.com.au/2016/04/18/why-the-qantas-share-price-has-crashed-today/,No profit results reported.,
36,2011-08-19,-4.61,1.323,1.387,-2.56,Market-wide decline,3,"The Qantas share price dropped on 19 August 2011 primarily due to a 52% fall in net profit, driven by record high fuel costs and ongoing industrial action, leading to loss of investor confidence.",Fuel costs; Industrial action; Profit warnings,"Analysis: Qantas share price drop on 19-Aug-2011; A sharp decline in profit**: Qantas announced a 52% fall in net profit, largely attributed to record high fuel costs and the impact of natural disasters and industrial action[4].; Warnings of ongoing challenges**: The company highlighted that it was facing continued headwinds from rising fuel prices (with fuel costs up $645 million to $4.3 billion) and ongoing industrial disput",Perplexity Analysis; News Archive; News Archive,https://orgecsnew.business-standard.com/article/pti-stories/shares-in-aus-s-qantas-plunge-after-cut-in-domestic-expansion-116041801263_1.html; https://www.fool.com.au/2023/09/06/why-did-the-qantas-share-price-dive-9-in-august/; https://www.fool.com.au/2024/07/09/why-did-asic-take-a-look-when-qantas-shares-fell-last-year/; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/mediaReleaseResults12.pdf; https://www.fool.com.au/2021/08/25/the-qantas-asxqan-share-price-fell-6-last-time-the-company-reported/; https://en.wikipedia.org/wiki/August_2011_stock_markets_fall; https://investor.qantas.com/investors/?page=historical-share-price; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/mediaReleaseResults11.pdf; https://stocksdownunder.com/qantas-airways-shares-fy25/; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/half-year-results/2011InvestorPresentation.pdf; https://www.fool.com.au/2023/09/06/why-did-the-qantas-share-price-dive-9-in-august/; https://www.fool.com.au/2024/07/09/why-did-asic-take-a-look-when-qantas-shares-fell-last-year/,"Yes, Qantas reported financial results in this period.

1. **Reported profit/earnings figure:** Underlying Profit Before Tax (PBT) of **$552 million** for the year ended 30 June 2011[1][2].
2. **Analyst expectations/consensus forecast:** Consensus analyst forecast was **$552 million** Underlying PBT[1].
3. **Beat, Met, or Missed expectations:** Qantas **met analyst expectations**[1].
4. **By how much:** The reported figure was **in line with consensus** (0% difference)[1].

All figures and consensus refer to the full-year result announced in August 2011.",
37,2020-05-14,-4.58,3.226,3.381,-1.72,Similar to market,1,"The Qantas share price dropped on 14 May 2020 primarily due to the severe impact of the COVID-19 pandemic, leading to drastic capacity reductions and a sharp decline in passenger demand, compounded by broader market volatility.",COVID-19; Market volatility,Analysis: Qantas share price drop on 14-May-2020,Perplexity Analysis,https://www.ig.com/en/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://www.fool.com.au/2025/06/03/why-the-qantas-share-price-soared-20-in-may-to-new-all-time-highs/; https://stockinvest.us/stock/QAN.AX; https://centreforaviation.com/analysis/reports/qantas-cuts-deep-but-well-placed-to-weather-covid-19-518552; https://australianaviation.com.au/2024/09/qantas-shares-finally-beat-pre-covid-peak/; https://www.fool.com.au/2023/01/16/shareholders-rejoice-qantas-share-price-hits-post-market-crash-high/; https://investor.qantas.com/investors/?page=historical-share-price; https://www.fpmarkets.com/qantas-share-price/why-did-the-qantas-share-price-fall-6-today/; https://www.fool.com.au/2020/05/14/why-beach-cba-qantas-xero-shares-are-dropping-lower/; https://www.youtube.com/watch?v=lPV5iAnQRy0; https://www.fool.com.au/2024/05/14/short-sellers-up-the-ante-on-qantas-shares/; https://www.marketindex.com.au/asx/qan; https://www.qantasnewsroom.com.au/media-releases/qantas-group-posts-significant-loss-from-full-year-of-covid/; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/2020HY/QantasGroup_Update_Coronavirus_Response.pdf,,
38,2017-07-14,-4.56,4.849,5.081,0.49,Qantas-specific (worse than market),5,"The Qantas share price dropped due to a 17.1% decline in statutory profit and a 0.9% decrease in revenue, overshadowing positive aspects like strong domestic performance and a share buyback announcement.",Profit warnings; Market volatility,"Analysis: Qantas share price drop on 14-Jul-2017; Statutory profit after tax fell 17.1%** to $853 million, and underlying profit before tax dropped 8.6% to $1,401 million[1][5].; Revenue and other income decreased by 0.9%**, and unit revenue (RASK) was down 2%[1].",Perplexity Analysis; News Archive; News Archive,https://www.fool.com.au/2017/08/25/qantas-airways-limited-shares-lower-despite-earnings-beat-and-share-buyback/; https://www.capitalbrief.com/briefing/qantas-shares-retreat-after-confirming-jetstar-asia-closure-695c5f64-4bc7-44e9-9fd2-aae050a2e580/; https://www.fool.com.au/2017/02/23/watch-out-qantas-airways-limited-profit-falls-25/; https://www.fool.com.au/2024/07/09/why-did-asic-take-a-look-when-qantas-shares-fell-last-year/; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/annual-reports/2017AnnualReport.pdf; https://www.fpmarkets.com/qantas-share-price/why-did-the-qantas-share-price-fall-6-today/; https://investor.qantas.com/investors/?page=historical-share-price; https://www.youtube.com/watch?v=lPV5iAnQRy0; https://www.qantasnewsroom.com.au/media-releases/qantas-group-posts-significant-loss-from-full-year-of-covid/; https://www.intelligentinvestor.com.au/shares/asx-qan/qantas-airways-limited/share-price; https://en.wikipedia.org/wiki/Qantas; https://www.capitalbrief.com/briefing/qantas-shares-retreat-after-confirming-jetstar-asia-closure-695c5f64-4bc7-44e9-9fd2-aae050a2e580/; https://www.fool.com.au/2017/02/23/watch-out-qantas-airways-limited-profit-falls-25/,No profit results reported.,
39,2020-10-30,-4.56,4.059,4.253,-0.55,Qantas-specific (worse than market),1,"The primary cause of the Qantas share price drop on October 30, 2020, is not explicitly stated, but the broader context indicates significant volatility due to the COVID-19 pandemic and ongoing capacity cuts.",COVID-19; Market volatility,Analysis: Qantas share price drop on 30-Oct-2020,Perplexity Analysis,https://www.fool.com.au/2020/06/26/qantas-share-price-down-6-after-completing-1-4bn-institutional-placement/; https://www.ig.com/au/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://www.fool.com.au/2022/10/17/has-the-qantas-share-price-finally-left-covid-in-its-contrail/; https://www.fool.com.au/2023/01/16/shareholders-rejoice-qantas-share-price-hits-post-market-crash-high/; https://www.ig.com/en/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://www.qantasnewsroom.com.au/media-releases/qantas-group-fy20-financial-results-navigating-exceptional-conditions/; https://australianaviation.com.au/2020/03/asx-chaos-as-qantas-and-virgin-shares-nosedive/; https://www.marketindex.com.au/news/should-you-sell-your-qantas-shares; https://investor.qantas.com/investors/?page=historical-share-price; https://www.qantasnewsroom.com.au/media-releases/qantas-group-announces-post-covid-recovery-plan-and-equity-raising-for-a-stronger-future/; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/2020FY/FY20-Media-Release.pdf; https://www.qantasnewsroom.com.au/media-releases/qantas-group-posts-significant-loss-from-full-year-of-covid/; https://www.marketindex.com.au/asx/qan,No profit results reported.,
40,2017-08-28,-4.54,5.063,5.304,-0.59,Qantas-specific (worse than market),3,"The Qantas share price dropped due to a broker warning from JP Morgan, citing unrealistic fare increases needed to justify the high share price amid weak domestic demand and challenging international conditions, prompting profit-taking after a strong performance.",Analyst downgrades; Profit warnings; Profit-taking,"Analysis: Qantas share price drop on 28-Aug-2017; The share price drop followed the announcement of Qantas' second-highest underlying annual profit and a $373 million share buyback, but also a reported decline in full-year profit compared to the prev; The market was reacting to both the broker's warning and the broader context of profit declines and ongoing competitive pressures in the airline industry[1][5].",Perplexity Analysis; News Archive; News Archive,https://www.sbs.com.au/news/article/qantas-shares-fall-on-broker-warning/heuhsabj2; https://www.capitalbrief.com/briefing/qantas-posts-drop-in-full-year-profit-7151b7b1-d2f9-4b9b-b23b-7ccbbc570e5d/; https://www.fool.com.au/2017/08/25/qantas-airways-limited-shares-lower-despite-earnings-beat-and-share-buyback/; https://www.fool.com.au/2025/10/01/after-hitting-record-highs-in-august-what-happened-with-qantas-shares-in-september/; https://australianaviation.com.au/2017/08/qantas-says-record-domestic-result-offsets-intense-international-competition/; https://www.ig.com/en/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://investor.qantas.com/investors/?page=historical-share-price; https://www.youtube.com/watch?v=lPV5iAnQRy0; https://www.capitalbrief.com/briefing/qantas-posts-drop-in-full-year-profit-7151b7b1-d2f9-4b9b-b23b-7ccbbc570e5d/; https://www.fool.com.au/2017/08/25/qantas-airways-limited-shares-lower-despite-earnings-beat-and-share-buyback/,"Yes, Qantas reported financial results during this period.

- **Reported profit/earnings figure:** Underlying Profit Before Tax of **$1,401 million** for the year ended 30 June 2017[1][2][3][4][5].
- **Analyst expectations/consensus forecast:** Qantas stated the result was ""slightly above the guidance range provided in early May this year""[1][2].
- **Beat, Met, or Missed expectations:** **Beat** expectations[1][2].
- **By how much:** The result was **slightly above guidance**; the underlying profit was down 8.6% year-on-year but exceeded the forecast range. The exact percentage above consensus is not specified, but the company described it as ""slightly above""[1][2].",
