company,meeting_date,meeting_type,motion_number,proposal,management_recommendation,hesta_vote,year,source
360 Capital Group,2017-10-27,Annual,2,Re-elect Andrew G. Moffat,For,For,2017,glasslewis_detail
360 Capital Group,2017-10-27,Annual,3,Re-elect William J. Ballhausen,For,For,2017,glasslewis_detail
360 Capital Group,2017-10-27,Annual,4,Approve Capital Reallocation,For,For,2017,glasslewis_detail
360 Capital Group,2017-10-27,Annual,5,Amendments to Constitution (Trust),For,For,2017,glasslewis_detail
360 Capital Group,2017-10-27,Annual,6,Amendments to Constitution (Company),For,For,2017,glasslewis_detail
360 Capital Group,2017-07-18,Ordinary,1,Approve Employee Security Plan,For,For,2017,glasslewis_detail
360 Capital Group,2017-07-18,Ordinary,2,Equity Grant (MD Tony Pitt),For,For,2017,glasslewis_detail
360 Capital Group,2017-07-18,Ordinary,3,Equity Grant (Chairman David van Aanholt),For,Against,2017,glasslewis_detail
360 Capital Group,2017-07-18,Ordinary,4,Equity Grant (NED Graham Lenzner),For,Against,2017,glasslewis_detail
360 Capital Group,2017-07-18,Ordinary,5,Equity Grant (NED John Ballhausen),For,Against,2017,glasslewis_detail
360 Capital Group,2017-07-18,Ordinary,6,Equity Grant (NED Andrew Moffat),For,Against,2017,glasslewis_detail
3P Learning Limited,2018-11-09,Annual,3,Remuneration Report,For,For,2018,glasslewis_detail
3P Learning Limited,2018-11-09,Annual,4,Equity Grant (MD/CEO Rebekah O'Flaherty),For,For,2018,glasslewis_detail
3P Learning Limited,2018-11-09,Annual,5,Approve Termination Payments,For,For,2018,glasslewis_detail
3P Learning Limited,2017-11-09,Annual,1,REMUNERATION REPORT,For,For,2017,glasslewis_detail
3P Learning Limited,2017-11-09,Annual,2,Equity Grant (MD/CEO Rebekah O’Flaherty),For,For,2017,glasslewis_detail
3P Learning Limited,2017-11-09,Annual,3,Re-elect Samuel S. Weiss,For,For,2017,glasslewis_detail
3P Learning Limited,2017-11-09,Annual,4,Approve Increase in NEDs' Fee Cap,N/A,For,2017,glasslewis_detail
3P Learning Limited,2017-11-09,Annual,5,Renew Proportional Takeover Provisions,For,For,2017,glasslewis_detail
A2B Australia Limited,2019-11-21,Annual,1,Re-elect Louise McCann,For,For,2019,glasslewis_detail
A2B Australia Limited,2019-11-21,Annual,2,Remuneration Report,For,For,2019,glasslewis_detail
A2B Australia Limited,2019-11-21,Annual,3,Equity Grant (MD/CEO Andrew Skelton),For,For,2019,glasslewis_detail
A2B Australia Limited,2018-11-22,Annual,1,Re-elect Paul N. Oneile,For,For,2018,glasslewis_detail
A2B Australia Limited,2018-11-22,Annual,2,Remuneration Report,For,For,2018,glasslewis_detail
A2B Australia Limited,2018-11-22,Annual,3,Equity Grant (MD/CEO Andrew Skelton),For,For,2018,glasslewis_detail
A2B Australia Limited,2018-11-22,Annual,4,Change in Company Name,For,For,2018,glasslewis_detail
A2B Australia Limited,2017-11-21,Annual,3,Remuneration Report,For,For,2017,glasslewis_detail
A2B Australia Limited,2017-11-21,Annual,4,Equity Grant (MD/CEO Andrew Skelton),For,For,2017,glasslewis_detail
A2B Australia Limited,2016-11-24,Annual,1,Re-elect Donnald McMichael,For,For,2016,glasslewis_detail
A2B Australia Limited,2016-11-24,Annual,2,Remuneration Report,For,For,2016,glasslewis_detail
A2B Australia Limited,2016-11-24,Annual,3,Equity Grant (MD/CEO Andrew Skelton),For,For,2016,glasslewis_detail
Abacus Group,2023-07-27,Special,1,Amendments to Constitution (AGHL),For,For,2023,glasslewis_detail
Abacus Group,2023-07-27,Special,2,Amendments to Constitution (AGPL),For,For,2023,glasslewis_detail
Abacus Group,2023-07-27,Special,3,Amendments to Constitution (ASOL),For,For,2023,glasslewis_detail
Abacus Group,2023-07-27,Special,4,Amendments to Constitution (AT),For,For,2023,glasslewis_detail
Abacus Group,2023-07-27,Special,5,Amendments to Constitution (AIT),For,For,2023,glasslewis_detail
Abacus Group,2023-07-27,Special,6,Amendments to Constitution (ASPT),For,For,2023,glasslewis_detail
Abacus Group,2023-07-27,Special,7,Approve Acquisition Resolutions,For,For,2023,glasslewis_detail
Abacus Group,2023-07-27,Special,8,Approve Abacus Group Stapling Deed (AGHL),For,For,2023,glasslewis_detail
Abacus Group,2023-07-27,Special,9,Approve Abacus Group Stapling Deed (AGPL),For,For,2023,glasslewis_detail
Abacus Group,2023-07-27,Special,10,Approve Abacus Storage King Stapling Deed,For,For,2023,glasslewis_detail
Abacus Group,2023-07-27,Special,11,Approve Proposal,For,For,2023,glasslewis_detail
Abacus Group,2022-11-23,Annual,2,Remuneration Report,For,For,2022,glasslewis_detail
Abacus Group,2022-11-23,Annual,4,Equity Grant (MD Steven Sewell),For,Against,2022,glasslewis_detail
Abacus Group,2022-11-23,Annual,5,Ratify Placement of Securities,For,For,2022,glasslewis_detail
Abacus Group,2022-11-23,Annual,6,Approve Increase in NEDs' Fee Cap,For,For,2022,glasslewis_detail
Abacus Group,2021-11-17,Annual,2,Remuneration Report,For,For,2021,glasslewis_detail
Abacus Group,2021-11-17,Annual,4,Equity Grant (MD Steven Sewell),For,Against,2021,glasslewis_detail
Abacus Group,2021-11-17,Annual,5,Amendments to Company Constitution,For,Against,2021,glasslewis_detail
Abacus Group,2021-11-17,Annual,6,Amendments to Trust Constitution,For,Against,2021,glasslewis_detail
Abacus Group,2020-11-17,Annual,2,REMUNERATION REPORT,For,Against,2020,glasslewis_detail
Abacus Group,2020-11-17,Annual,3,Re-elect Myra Salkinder,For,For,2020,glasslewis_detail
Abacus Group,2020-11-17,Annual,4,Equity Grant (MD Steven Sewell),For,Against,2020,glasslewis_detail
Abacus Group,2019-11-15,Annual,2,Remuneration Report,For,For,2019,glasslewis_detail
Abacus Group,2019-11-15,Annual,4,Equity Grant (MD Steven Sewell),For,Against,2019,glasslewis_detail
Abacus Group,2019-11-15,Annual,5,Ratify Placement of Securities,For,Abstain,2019,glasslewis_detail
Abacus Group,2018-11-15,Annual,2,Remuneration Report,For,Against,2018,glasslewis_detail
Abacus Group,2018-11-15,Annual,3,Elect Mark Haberlin,For,For,2018,glasslewis_detail
Abacus Group,2018-11-15,Annual,4,Equity Grant (MD Steven Sewell),For,Against,2018,glasslewis_detail
Accent Group Limited,2024-11-21,Annual,2,Remuneration Report,For,For,2024,glasslewis_detail
Accent Group Limited,2024-11-21,Annual,5,Equity Grant (CEO Daniel Agostinelli),For,For,2024,glasslewis_detail
Accent Group Limited,2023-11-17,Annual,2,Remuneration Report,For,Against,2023,glasslewis_detail
Accent Group Limited,2023-11-17,Annual,3,Re-elect Michael Hapgood,For,Against,2023,glasslewis_detail
Accent Group Limited,2023-11-17,Annual,4,Appointment of Auditor,For,For,2023,glasslewis_detail
Accent Group Limited,2023-11-17,Annual,5,Equity Grant (MD/CEO Daniel Agostinelli),For,Against,2023,glasslewis_detail
Accent Group Limited,2022-11-11,Annual,2,Remuneration Report,For,For,2022,glasslewis_detail
Accent Group Limited,2022-11-11,Annual,4,Amendment to the Terms of Performance Rights,For,Against,2022,glasslewis_detail
Accent Group Limited,2022-11-11,Annual,5,Approve Performance Rights Plan,For,Against,2022,glasslewis_detail
Accent Group Limited,2020-11-20,Annual,2,Remuneration Report,For,Against,2020,glasslewis_detail
Accent Group Limited,2020-11-20,Annual,4,Equity Grant (MD/CEO Daniel Agostinelli),For,For,2020,glasslewis_detail
Accent Group Limited,2020-11-20,Annual,5,AMENDMENTS TO CONSTITUTION,For,For,2020,glasslewis_detail
Accent Group Limited,2020-11-20,Annual,6,Board Spill Resolution (Conditional),Against,Against,2020,glasslewis_detail
Accent Group Limited,2019-11-28,Annual,2,Remuneration Report,For,For,2019,glasslewis_detail
Accent Group Limited,2019-11-28,Annual,4,Approve Increase in NEDs' Fee Cap,For,For,2019,glasslewis_detail
Accent Group Limited,2019-11-28,Annual,5,Renewal Performance Rights Plan,For,For,2019,glasslewis_detail
Accent Group Limited,2019-11-28,Annual,6,Equity Grant (CEO Daniel Agostinelli),For,For,2019,glasslewis_detail
Accent Group Limited,2018-11-23,Annual,2,Remuneration Report,For,For,2018,glasslewis_detail
Accent Group Limited,2016-11-25,Annual,2,REMUNERATION REPORT,For,For,2016,glasslewis_detail
Accent Group Limited,2016-11-25,Annual,4,Ratify Placement of Securities (Capital Raising Shares),For,Abstain,2016,glasslewis_detail
Accent Group Limited,2016-11-25,Annual,5,Ratify Placement of Securities (Hype Consideration Shares),For,For,2016,glasslewis_detail
Accent Group Limited,2016-11-25,Annual,6,Approve Financial Assistance (Hype Acquisition),For,For,2016,glasslewis_detail
Accent Group Limited,2016-11-25,Annual,7,Approve Performance Rights Plan,For,For,2016,glasslewis_detail
Accent Group Limited,2016-11-25,Annual,8,Equity Grant (Co-CEO - Hilton Brett),For,For,2016,glasslewis_detail
Accent Group Limited,2016-11-25,Annual,9,Equity Grant (Co-CEO - Daniel Agostinelli),For,For,2016,glasslewis_detail
Accent Group Limited,2016-11-25,Annual,10,Equity Grant (Group CFO - Michael Hirschowitz ),For,For,2016,glasslewis_detail
Accent Group Limited,2016-11-25,Annual,11,Change in Company Name,For,For,2016,glasslewis_detail
Aconex Limited,2017-11-08,Annual,1,Remuneration Report,For,For,2017,glasslewis_detail
Aconex Limited,2017-11-08,Annual,2,Re-elect Simon Yencken,For,For,2017,glasslewis_detail
Aconex Limited,2016-10-25,Annual,2,Remuneration Report,For,For,2016,glasslewis_detail
Aconex Limited,2016-10-25,Annual,5,Ratify Placement of Securities,For,For,2016,glasslewis_detail
Acrux Ltd,2016-11-10,Annual,1,Remuneration Report,For,For,2016,glasslewis_detail
Acrux Ltd,2016-11-10,Annual,2,Re-elect Ross Dobinson,For,For,2016,glasslewis_detail
Acrux Ltd,2016-11-10,Annual,3,Re-elect Timothy Oldham,For,For,2016,glasslewis_detail
Acrux Ltd,2016-11-10,Annual,4,Re-elect Simon Green,For,For,2016,glasslewis_detail
Acrux Ltd,2016-11-10,Annual,5,Re-elect Geoffrey E. Brooke,For,For,2016,glasslewis_detail
Adairs Limited,2024-10-25,Annual,2,Elect Kiera Grant,For,For,2024,glasslewis_detail
Adairs Limited,2024-10-25,Annual,3,Remuneration Report,For,For,2024,glasslewis_detail
Adairs Limited,2020-10-26,Annual,2,Re-elect David J. MacLean,For,For,2020,glasslewis_detail
Adairs Limited,2020-10-26,Annual,3,REMUNERATION REPORT,For,For,2020,glasslewis_detail
Adairs Limited,2020-10-26,Annual,4,Equity Grant (MD/CEO Mark Ronan),For,For,2020,glasslewis_detail
Adairs Limited,2020-10-26,Annual,5,Equity Grant (Executive Director Michael Cherubino),For,For,2020,glasslewis_detail
Adairs Limited,2020-10-26,Annual,6,Approve Financial Assistance (Mocka Holding Pty Ltd),For,For,2020,glasslewis_detail
Adairs Limited,2020-10-26,Annual,7,Renew Proportional Takeover Provisions,For,For,2020,glasslewis_detail
Adairs Limited,2019-10-25,Annual,4,REMUNERATION REPORT,For,For,2019,glasslewis_detail
Adairs Limited,2019-10-25,Annual,5,Equity Grant (MD/CEO Mark Ronan),For,For,2019,glasslewis_detail
Adairs Limited,2019-10-25,Annual,6,Equity Grant (Executive Director Michael Cherubino),For,For,2019,glasslewis_detail
Adairs Limited,2018-10-26,Annual,3,REMUNERATION REPORT,For,For,2018,glasslewis_detail
Adairs Limited,2018-10-26,Annual,4,Equity Grant (MD/CEO Mark Ronan),For,For,2018,glasslewis_detail
Adairs Limited,2018-10-26,Annual,5,Equity Grant (Executive Director Michael Cherubino),For,For,2018,glasslewis_detail
Adairs Limited,2018-10-26,Annual,6,Approve Increase in NEDs' Fee Cap,For,For,2018,glasslewis_detail
Adairs Limited,2017-11-02,Annual,3,REMUNERATION REPORT,For,For,2017,glasslewis_detail
Adairs Limited,2017-11-02,Annual,4,Equity Grant (MD/CEO Mark Ronan),For,For,2017,glasslewis_detail
Adairs Limited,2017-11-02,Annual,5,Equity Grant (Executive Director Michael Cherubino),For,For,2017,glasslewis_detail
Adairs Limited,2016-11-18,Annual,3,REMUNERATION REPORT,For,For,2016,glasslewis_detail
Adairs Limited,2016-11-18,Annual,4,Equity Grant (MD/CEO Mark Ronan),For,For,2016,glasslewis_detail
Adairs Limited,2016-11-18,Annual,5,Equity Grant (Executive Director Michael Cherubino),For,For,2016,glasslewis_detail
Adairs Limited,2016-11-18,Annual,6,Appointment of Auditor,For,For,2016,glasslewis_detail
Adbri Limited,2024-06-12,Court,1,Merger/Acquisition,For,For,2024,glasslewis_detail
Adbri Limited,2022-05-19,Annual,2,Remuneration Report,For,For,2022,glasslewis_detail
Adbri Limited,2022-05-19,Annual,3,Re-elect Geoffrey (Geoff) R. Tarrant,For,For,2022,glasslewis_detail
Adbri Limited,2022-05-19,Annual,4,Elect Michael Wright,For,For,2022,glasslewis_detail
Adbri Limited,2022-05-19,Annual,5,Elect Samantha L. Hogg,For,For,2022,glasslewis_detail
Adbri Limited,2022-05-19,Annual,7,Appointment of Auditor,For,For,2022,glasslewis_detail
Adbri Limited,2021-05-21,Annual,2,Re-elect Raymond D. Barro,For,For,2021,glasslewis_detail
Adbri Limited,2021-05-21,Annual,3,Re-elect Rhonda Barro,For,For,2021,glasslewis_detail
Adbri Limited,2021-05-21,Annual,4,Remuneration Report,For,For,2021,glasslewis_detail
Adbri Limited,2020-05-19,Annual,2,Re-elect Vanessa A. Guthrie,For,For,2020,glasslewis_detail
Adbri Limited,2020-05-19,Annual,3,Re-elect Geoffrey (Geoff) R. Tarrant,For,For,2020,glasslewis_detail
Adbri Limited,2020-05-19,Annual,4,Elect Emma R. Stein,For,For,2020,glasslewis_detail
Adbri Limited,2020-05-19,Annual,5,Change of Company Name,For,For,2020,glasslewis_detail
Adbri Limited,2020-05-19,Annual,6,Remuneration Report,For,For,2020,glasslewis_detail
Adbri Limited,2020-05-19,Annual,7,Board Spill Resolution,Against,Against,2020,glasslewis_detail
Adbri Limited,2019-05-10,Annual,2,Elect Rhonda Barro,For,For,2019,glasslewis_detail
Adbri Limited,2019-05-10,Annual,3,Re-elect Kenneth (Ken) B. Scott-Mackenzie,For,For,2019,glasslewis_detail
Adbri Limited,2019-05-10,Annual,4,Re-elect Zlatko Todorcevski,For,For,2019,glasslewis_detail
Adbri Limited,2019-05-10,Annual,5,Remuneration Report,For,Against,2019,glasslewis_detail
Adbri Limited,2018-05-17,Annual,2,Elect Vanessa Guthrie,For,For,2018,glasslewis_detail
Adbri Limited,2018-05-17,Annual,3,Elect Geoff Tarrant,For,For,2018,glasslewis_detail
Adbri Limited,2018-05-17,Annual,4,Re-elect Raymond Barro,For,For,2018,glasslewis_detail
Adbri Limited,2018-05-17,Annual,5,Equity Grant (MD/CEO Martin Brydon),For,For,2018,glasslewis_detail
Adbri Limited,2018-05-17,Annual,6,Remuneration Report,For,For,2018,glasslewis_detail
Adbri Limited,2017-05-25,Annual,2,Elect Zlatko Todorcevski,For,For,2017,glasslewis_detail
Adbri Limited,2017-05-25,Annual,3,Re-elect Leslie V. Hosking,For,For,2017,glasslewis_detail
Adbri Limited,2017-05-25,Annual,4,Re-elect Kenneth B. Scott-Mackenzie,For,For,2017,glasslewis_detail
Adbri Limited,2017-05-25,Annual,5,Re-elect Arlene M. Tansey,For,For,2017,glasslewis_detail
Adbri Limited,2017-05-25,Annual,6,Equity Grant (MD/CEO Martin Brydon),For,For,2017,glasslewis_detail
Adbri Limited,2017-05-25,Annual,7,Remuneration Report,For,For,2017,glasslewis_detail
Adbri Limited,2017-05-25,Annual,8,Approve Increase in NEDs' Fee Cap,For,For,2017,glasslewis_detail
Adore Beauty Group Limited,2021-11-12,Annual,1,Re-elect James Height,For,For,2021,glasslewis_detail
Adore Beauty Group Limited,2021-11-12,Annual,2,REMUNERATION REPORT,N/A,For,2021,glasslewis_detail
Adriatic Metals Plc,2025-08-13,Ordinary,1,Scheme of Arrangement,For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,1,Accounts and Reports,For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,2,Remuneration Report,For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,3,Elect Laura Tyler,For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,4,Elect Mirco Bardella,For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,5,Elect Eric Rasmussen,For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,6,Re-elect Sandra Bates,For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,7,Re-elect Michael Rawlinson,For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,8,Re-elect Peter R. Bilbe,For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,9,Re-elect Sanela Karic,For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,10,Re-appointment of Auditor,For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,11,Authority to Set Auditor's Fees,For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,12,GENERAL AUTHORITY TO ALLOT SHARES,For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,13,Renewal of the Employee Incentive Plans,For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,14,Equity Grant (MD Laura Tyler - Fee Shares),For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,15,Equity Grant (MD Laura Tyler - Bonus Shares),For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,16,Equity Grant (MD Laura Tyler - FY2025 Performance Rights),For,Against,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,17,Equity Grant (ED Sanela Karic - FY2024 Performance Rights),For,Against,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,18,Equity Grant (ED Sanela Karic - FY2025 Performance Rights),For,Against,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,19,Disapplication of Preemptive Rights,For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,20,Disapplication of Preemptive Rights (Acquisition and Investment Financing),For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,21,Amendments to Constitution,For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-06-18,Annual,22,Authority to Set General Meeting Notice Period at 14 Days,For,Against,2025,glasslewis_detail
Adriatic Metals Plc,2025-03-14,Ordinary,1,Ratify Placement of Securities (Tranche 1 Placement),For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-03-14,Ordinary,2,Approve Issue of Securities (Tranche 2 Placement),For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-03-14,Ordinary,3,Ratify Placement of Securities (2024 Placement),For,Against,2025,glasslewis_detail
Adriatic Metals Plc,2025-03-14,Ordinary,4,Authority to Allot Shares,For,For,2025,glasslewis_detail
Adriatic Metals Plc,2025-03-14,Ordinary,5,Disapplication of Preemptive Rights,For,For,2025,glasslewis_detail
Adriatic Metals Plc,2024-05-22,Annual,1,Accounts and Reports,For,For,2024,glasslewis_detail
Adriatic Metals Plc,2024-05-22,Annual,2,Remuneration Report,For,For,2024,glasslewis_detail
Adriatic Metals Plc,2024-05-22,Annual,3,Re-elect Michael Rawlinson,For,For,2024,glasslewis_detail
Adriatic Metals Plc,2024-05-22,Annual,4,Re-elect Peter R. Bilbe,For,For,2024,glasslewis_detail
Adriatic Metals Plc,2024-05-22,Annual,5,Re-appointment of Auditor,For,For,2024,glasslewis_detail
Adriatic Metals Plc,2024-05-22,Annual,6,Authority to Set Auditor's Fees,For,For,2024,glasslewis_detail
Adriatic Metals Plc,2024-05-22,Annual,7,GENERAL AUTHORITY TO ALLOT SHARES,For,For,2024,glasslewis_detail
Adriatic Metals Plc,2024-05-22,Annual,8,Equity Grant (MD/CEO Paul Cronin - FY2024 Performance Rights),For,For,2024,glasslewis_detail
Adriatic Metals Plc,2024-05-22,Annual,9,Ratify Placement of Securities,For,For,2024,glasslewis_detail
Adriatic Metals Plc,2024-05-22,Annual,10,Disapplication of Preemptive Rights,For,For,2024,glasslewis_detail
Adriatic Metals Plc,2024-05-22,Annual,11,Disapplication of Preemptive Rights,For,For,2024,glasslewis_detail
Adriatic Metals Plc,2024-05-22,Annual,12,Authority to Set General Meeting Notice Period at 14 Days,For,For,2024,glasslewis_detail
Aeris Environmental Ltd,2018-11-29,Annual,1,Re-elect Steven Kritzler,For,For,2018,glasslewis_detail
Aeris Environmental Ltd,2018-11-29,Annual,2,Remuneration Report,For,For,2018,glasslewis_detail
Aeris Environmental Ltd,2018-11-29,Annual,3,Board Spill Resolution,Against,Against,2018,glasslewis_detail
Aeris Environmental Ltd,2018-11-29,Annual,4,Approve Employee Incentive Plan,For,For,2018,glasslewis_detail
Aeris Environmental Ltd,2018-11-29,Annual,5,Equity Grant (NED Alex Sava),For,For,2018,glasslewis_detail
Aeris Environmental Ltd,2017-11-29,Annual,1,Re-elect Bernard Stang,For,For,2017,glasslewis_detail
Aeris Environmental Ltd,2017-11-29,Annual,2,Remuneration Report,For,For,2017,glasslewis_detail
Aeris Environmental Ltd,2016-11-28,Annual,1,Re-elect Maurie Stang,For,Against,2016,glasslewis_detail
Aeris Environmental Ltd,2016-11-28,Annual,2,Elect Alex Sava,For,For,2016,glasslewis_detail
Aeris Environmental Ltd,2016-11-28,Annual,3,Remuneration Report,For,For,2016,glasslewis_detail
Aeris Environmental Ltd,2016-11-28,Annual,4,Approve Issue of Securities (NED Maurie Stang),For,For,2016,glasslewis_detail
Aeris Environmental Ltd,2016-11-28,Annual,5,Approve Issue of Securities (NED Bernard Stang),For,For,2016,glasslewis_detail
Aeris Environmental Ltd,2016-11-28,Annual,6,Approve Issue of Securities (NED Steven Kritzler),For,For,2016,glasslewis_detail
Aeris Environmental Ltd,2016-11-28,Annual,7,Equity Grant (NED Alex Sava),For,For,2016,glasslewis_detail
Aeris Environmental Ltd,2016-11-28,Annual,8,Adopt New Constitution,For,For,2016,glasslewis_detail
Afterpay Holdings Limited,2017-06-19,Special,1,Merger/Acquisition,For,For,2017,glasslewis_detail
Afterpay Holdings Limited,2016-11-24,Annual,1,Remuneration Report,For,For,2016,glasslewis_detail
Afterpay Holdings Limited,2016-11-24,Annual,2,Elect Anthony Eisen,For,For,2016,glasslewis_detail
Afterpay Holdings Limited,2016-11-24,Annual,3,Appoint Auditor,For,For,2016,glasslewis_detail
Afterpay Limited,2021-12-14,Special,1,Acquisition by Square,For,For,2021,glasslewis_detail
Afterpay Limited,2021-12-06,Special,1,Acquisition by Square,For,For,2021,glasslewis_detail
Afterpay Limited,2021-11-17,Annual,3,Remuneration Report,For,Against,2021,glasslewis_detail
Afterpay Limited,2020-11-17,Annual,3,Remuneration Report,For,Against,2020,glasslewis_detail
Afterpay Limited,2020-11-17,Annual,4,Ratify Placement of Securities (July Placement),For,Abstain,2020,glasslewis_detail
Afterpay Limited,2020-11-17,Annual,5,Ratify Placement of Securities (Pagantis Acquisition),For,For,2020,glasslewis_detail
Afterpay Limited,2020-11-17,Annual,6,Approve Equity Incentive Plan,For,For,2020,glasslewis_detail
Afterpay Limited,2020-11-17,Annual,7,Equity Grant (MD/CEO Anthony Eisen),For,Against,2020,glasslewis_detail
Afterpay Limited,2020-11-17,Annual,8,Equity Grant (CRO/ED Nick Molnar),For,Against,2020,glasslewis_detail
Afterpay Limited,2019-11-13,Annual,1,Remuneration Report,For,For,2019,glasslewis_detail
Afterpay Limited,2019-11-13,Annual,2,Approve Increase in NEDs' Fee Cap,For,For,2019,glasslewis_detail
Afterpay Limited,2019-11-13,Annual,3,Re-elect Clifford Rosenberg,For,For,2019,glasslewis_detail
Afterpay Limited,2019-11-13,Annual,4,Ratify Placement of Securities,For,Abstain,2019,glasslewis_detail
Afterpay Limited,2019-11-13,Annual,5,Approve Equity Incentive Plan,For,For,2019,glasslewis_detail
Afterpay Limited,2019-11-13,Annual,6,Equity Grant (MD/CEO Anthony Eisen),For,For,2019,glasslewis_detail
Afterpay Limited,2019-11-13,Annual,7,Equity Grant (CRO/ED Nick Molnar),For,For,2019,glasslewis_detail
Afterpay Limited,2019-11-13,Annual,8,Change in Company Name,For,For,2019,glasslewis_detail
Afterpay Limited,2018-11-28,Annual,1,Remuneration Report,For,Against,2018,glasslewis_detail
Afterpay Limited,2018-11-28,Annual,2,Re-elect Dana Stadler,For,For,2018,glasslewis_detail
Afterpay Limited,2018-11-28,Annual,3,Re-elect Elana Rubin,For,For,2018,glasslewis_detail
Afterpay Limited,2018-11-28,Annual,4,Ratification of Placement (Capital Raising),For,For,2018,glasslewis_detail
Afterpay Limited,2018-11-28,Annual,5,Ratification of Placement (Matrix Partners),For,For,2018,glasslewis_detail
Afterpay Limited,2018-11-28,Annual,6,Ratification of Placement (Convertible Notes),For,For,2018,glasslewis_detail
Afterpay Limited,2018-11-28,Annual,7,Approve U.S. Equity Incentive Plan,For,For,2018,glasslewis_detail
Afterpay Limited,2018-11-28,Annual,8,Equity Grant (Executive Director David Hancock),For,Against,2018,glasslewis_detail
AGL Energy Ltd,2025-10-03,Annual,2,Remuneration Report,For,For,2025,glasslewis_detail
AGL Energy Ltd,2025-10-03,Annual,3,Adoption of the 2025 Climate Transition Action Plan,For,For,2025,glasslewis_detail
AGL Energy Ltd,2025-10-03,Annual,4,Appointment of Auditor,For,For,2025,glasslewis_detail
